"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Indoor Dual-Indicator Precision Localization Framework Fusing Model Sparsity and Federated Multitask Learning","R. An; Q. Zhou; Z. Jing; J. Mu","School of Information and Communication Engineering. Beijing University of Posts and Telecommunications, Beijing, China; School of Information and Communication Engineering. Beijing University of Posts and Telecommunications, Beijing, China; School of Information and Communication Engineering. Beijing University of Posts and Telecommunications, Beijing, China; School of Information and Communication Engineering. Beijing University of Posts and Telecommunications, Beijing, China",2023 International Conference on Information Processing and Network Provisioning (ICIPNP),"23 Apr 2025","2023","","","350","354","Modern smart environments require accurate indoor positioning to provide personalized services and location awareness. Traditional methods are limited by signal fading and multipath effects, and are costly. In this paper, we combine joint learning and model sparsity algorithms to allow distributed devices to collaboratively train localization models in WiFicovered building clusters and base station scenarios, which reduces the communication cost and improves the generalization ability. Meanwhile, multi-task learning is introduced at edge nodes to improve the localization accuracy through feature sharing. Experiments demonstrate that the framework achieves more accurate WiFi fingerprint indoor localization and guarantees privacy. In summary, this study successfully develops an optimized WiFi fingerprint indoor localization method based on joint learning and multi-task learning, which provides an effective solution to the smart environment localization problem.","","979-8-3503-6347-0","10.1109/ICIPNP62754.2023.00079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10965453","WiFi fingerprint;Indoor Localization;Federated Multitask Learning;Model sparsity","Location awareness;Training;Adaptation models;Accuracy;Costs;Buildings;Fingerprint recognition;Multitasking;Data models;Wireless fidelity","","","","8","IEEE","23 Apr 2025","26-27 Oct. 2023","26-27 Oct. 2023","IEEE","IEEE Conferences"
"Development of LiDAR Navigation and BLE-RSSI Indoor Positioning for an Accident-Response Home-Bot","A. B. P. Efondo; J. M. S. Lagare; P. M. M. Canonigo; E. E. Matillano-Perez","Electronics Engineering Program College of Engineering Education, University of Mindanao, Davao City, Philippines; Electronics Engineering Program College of Engineering Education, University of Mindanao, Davao City, Philippines; Electronics Engineering Program College of Engineering Education, University of Mindanao, Davao City, Philippines; Electronics Engineering Program College of Engineering Education, University of Mindanao, Davao City, Philippines",2023 6th International Conference on Electronics and Electrical Engineering Technology (EEET),"5 Sep 2024","2023","","","155","160","The assistance and convenience of smart robotics drive industries to develop autonomous and interactive robots. Addressing such robotics enhancement, an autonomous accident-response home robot was developed by integrating two systems: the BLE-RSSI trilateration for its person tracking and the LiDAR SLAM for its path guidance. The created home robot can conquer 3-level accident-enactment setups. Results yield a $97.4 \%$ success rate for the IR sensory system, $91.1 \%$ for the IPS, $98.9 \%$ for the rally point arrival of the robot, and $98.3 \%$ for exit procession. Consolidation of the BLE-RSSI IPS and LiDAR-IR navigation system has enabled a proficient $86.3 \%$ accident-response capability of the robot.","","979-8-3503-9559-4","10.1109/EEET61723.2023.00039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10660021","Autonomous Navigation;IR Sensory System;2D LiDAR with Hector SLAM;Indoor Positioning System;BLE Beacon;Trilateration;Accident-Response Home-Bot","Industries;Electrical engineering;Laser radar;Simultaneous localization and mapping;Service robots;Navigation;Robot sensing systems","","2","","15","IEEE","5 Sep 2024","1-3 Dec. 2023","1-3 Dec. 2023","IEEE","IEEE Conferences"
"On the Application of Efficient Neural Mapping to Real-Time Indoor Localisation for Unmanned Ground Vehicles","C. J. Holder; M. Shafique","School of Computing, Newcastle University, Newcastle Upon Tyne, United Kingdom; Division of Engineering, New York University Abu Dhabi, Abu Dhabi, United Arab Emirates","2023 3rd International Conference on Robotics, Automation and Artificial Intelligence (RAAI)","26 Jul 2024","2023","","","12","19","Global localisation from visual data is a challenging problem applicable to many robotics domains. Prior works have shown that neural networks can be trained to map images of an environment to absolute camera pose within that environment, learning an implicit neural mapping in the process. In this work we evaluate the applicability of such an approach to real-world robotics scenarios, demonstrating that by constraining the problem to 2-dimensions and significantly increasing the quantity of training data, a compact model capable of real-time inference on embedded platforms can be used to achieve localisation accuracy of several centimetres. We deploy our trained model onboard a UGV platform, demonstrating its effectiveness in a waypoint navigation task, wherein it is able to localise with a mean accuracy of 9cm at a rate of 6fps running on the UGV's onboard CPU, 35fps on an embedded GPU, or 220fps on a desktop GPU. Along with this work we will release a novel localisation dataset comprising simulated and real environments, each with training samples numbering in the tens of thousands.","","979-8-3503-0756-6","10.1109/RAAI59955.2023.10601279","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10601279","navigation;neural networks;image processing","Training;Visualization;Accuracy;Navigation;Pose estimation;Graphics processing units;Training data","","","","39","IEEE","26 Jul 2024","14-16 Dec. 2023","14-16 Dec. 2023","IEEE","IEEE Conferences"
"Simulation of WiFi Fingerprint Location Model Based on Weighted K Nearest Neighbor Algorithm","S. Lin; J. Chen; J. Han; D. Chen; S. Su","State Grid Fujian Xiamen Electric Power Supply Company, Xiamen, Fujian, China; Fuzhou University, Fuzhou, Fujian, China; Fuzhou University Jinjiang Campus, Quanzhou, Fujian, China; State Grid Fujian Electric Power CO. LTD, Fuzhou, Fujian, China; State Grid Fujian Xiamen Electric Power Supply Company, Xiamen, Fujian, China","2023 International Conference on Telecommunications, Electronics and Informatics (ICTEI)","16 Jul 2024","2023","","","364","369","Indoor positioning technology has developed steadily. With the popularization of machine learning algorithms, numerous indoor positioning algorithms have emerged. However, most of the proposed indoor location algorithms are in the theoretical and laboratory stages. There are too few algorithms for specific scenes. Although the existing deployment has been applied in practice, its high positioning error still exists. This paper proposes a WiFi fingerprint location model based on WKNN (Weighted K-nearest Neighbor) algorithm. An improved WKNN location algorithm based on local sensitive hash algorithm is established, which solves the problem of poor real-time online location caused by the huge fingerprint database. The algorithm is divided into two stages: off-line indexing and on-line positioning. In the off-line indexing stage, the signature matrix with reduced dimension is generated by local sensitive hash algorithm, and in the on-line positioning stage, the location of undetermined sites is calculated by WKNN algorithm. The results show that the RMSE of the proposed method is smaller at different reference distances. Compared with WKNN and KNN, the method proposed in this paper has less accuracy no matter how the value of k changes. Compared with traditional methods such as WKNN and KNN, this method has better positioning accuracy and stability, and can better meet the current positioning accuracy requirements.","","979-8-3503-4296-3","10.1109/ICTEI60496.2023.00163","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10592258","WiFi Fingerprint Location;Weighted K Nearest Neighbor;Indoor positioning","Accuracy;Machine learning algorithms;Nearest neighbor methods;Fingerprint recognition;Stability analysis;Real-time systems;Telecommunications","","","","12","IEEE","16 Jul 2024","11-13 Sept. 2023","11-13 Sept. 2023","IEEE","IEEE Conferences"
"Design and Implementation of a Sensor-Based Autonomous Firefighting Robot for Detection, Classification, and Extinguishing of Class A and Class B Fires","J. E. B. Buhay; E. T. Gutierrez; G. V. Magwili",School of EECE Mapúa University; School of EECE Mapúa University; School of EECE Mapúa University,"2023 IEEE 15th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)","15 Jul 2024","2023","","","1","6","This study centers on designing and implementing an autonomous firefighting robot. Accordingly, this also centers on the operation of the constructed prototype. Regarding the characterization of fires, the firefighting robot yielded high reliability in terms of characterizing fires in indoor and outdoor locations concerning the gas and alcohol concentrations and the suppressant released. As for autonomous control, the firefighting robot reliably avoids obstacles and reaches the target location. As for the response time of the robot, the average response time for fires started with cloth, alcohol, wood, and gas in seconds in the indoor setting resulted in 18.1, 18.7, 18.2, and 19.3, respectively, while the mean response time for fires concerning the aforementioned materials ignited in seconds in the outdoor setting is 25.7, 26.2, 25.7, and 26.6, respectively.","2770-0682","979-8-3503-8117-7","10.1109/HNICEM60674.2023.10589228","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10589228","firefighting robot;Class A fires;Class B fires;autonomous","Prototypes;Humanoid robots;Robot sensing systems;Time factors;Reliability;Information technology;Robots","","3","","12","IEEE","15 Jul 2024","19-23 Nov. 2023","19-23 Nov. 2023","IEEE","IEEE Conferences"
"Impact of Feature Selection and CIR Window Length on NLoS Classification for UWB Systems","E. Ember; J. Pestana; M. Krisper; M. Stocker; K. Römer; C. A. Boano; P. C. Pelegrín","Pro2Future GmbH, Graz, Austria; Pro2Future GmbH, Graz, Austria; Pro2Future GmbH, Graz, Austria; NXP Semiconductors Austria GmbH & Co KG, Gratkorn, Austria; Institute of Technical Informatics Graz University of Technology, Graz, Austria; Institute of Technical Informatics Graz University of Technology, Graz, Austria; NXP Semiconductors Austria GmbH & Co KG, Gratkorn, Austria","2023 19th International Conference on Mobility, Sensing and Networking (MSN)","26 Jun 2024","2023","","","72","80","Indoor localization systems based on UltraWideBand (UWB) technology can typically achieve cm-level accuracy, but their performance degrades in Non-Line-of-Sight (NLoS) conditions. To cope with this problem, Machine Learning (ML) techniques have been applied to detect such NLoS conditions and adapt the localization algorithm accordingly. However, such ML techniques are typically optimized for accuracy, resulting in computationally-complex models that cannot be run on resource-constrained UWB devices. In this paper, we study and propose methods to reduce the computational complexity of NLoS classification models by applying ML-based feature selection and by reducing the window length of the channel impulse response for feature extraction. Specifically, we consider 29 features and study the effect of feature selection across five different datasets to obtain generalizable results. We show that we can extract two sets of only 3 and 8 features, which result in tiny ML models (smaller than 1kB), and low computation times ($3.6 \mathrm{~ms}$ and $27.7 \mathrm{~ms}$ on a 80MHz ESP8266 microcontroller, respectively). This allows a reduction of the runtime by more than $90 \%$ compared to the state of the art, while still maintaining an average classification accuracy above $85 \%$ across all five datasets.","2994-3523","979-8-3503-5826-1","10.1109/MSN60784.2023.00024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10566903","Channel impulse response;NLoS classification;Machine learning;Feature selection;Embedded systems;Ranging","Location awareness;Adaptation models;Accuracy;Runtime;Computational modeling;Pipelines;Feature extraction","","3","","41","IEEE","26 Jun 2024","14-16 Dec. 2023","14-16 Dec. 2023","IEEE","IEEE Conferences"
"Smart Card Auto-Selection Using GPS and WiFi Fingerprints for Smartphones","X. Wang; L. Zhang; H. Tu; Q. Liu; M. Zhou","School of Cyber Science and Engineering, Wuhan University, Wuhan, China; School of Cyber Science and Engineering, Wuhan University, Wuhan, China; School of Cyber Science and Engineering, Wuhan University, Wuhan, China; School of Cyber Science and Engineering, Wuhan University, Wuhan, China; School of Cyber Science and Engineering, Huazhong University of Science and Technology, Wuhan, China","2023 19th International Conference on Mobility, Sensing and Networking (MSN)","26 Jun 2024","2023","","","714","721","Smartphones equipped with NFC are increasingly emerging as favored alternatives to traditional physical smart cards. The E-wallet App on the phone mimics and stores digital credentials such as payment cards, transit cards, and door access cards. Thus it eliminates the need to carry multiple physical cards. However, users must scroll the screen and select the correct smart card manually before they tap the smartphone to the NFC terminal. It is not easy to correctly predict the smart card to be used because a user may swipe different cards in a short time, where a typical scenario is to tap an autogate at the entry of a building and open the NFC locks on the doors of the different office rooms inside the building. The key problem is to identify the NFC terminal to be tapped accurately and efficiently regardless of location. This motivates the need for a new approach to smart card selection. This paper proposes a method to identify the specific NFC terminal when the smartphone gets close to it and decide the most appropriate smart card automatically. It collects the GPS and WiFi fingerprints and stores them in the smartphone for a smart card when the phone is first bound to a terminal offline. During the online phase, the best-matched card is selected for tapping. Extensive tests are carried out on five mainstream Android smartphones in various indoor and outdoor environments to demonstrate the good performance of our proposed method.","2994-3523","979-8-3503-5826-1","10.1109/MSN60784.2023.00104","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10566978","Smartphone;NFC;Smart card;Digital credential;GPS fingerprint;WiFi fingerprint","Smart cards;Online banking;Buildings;MIMICs;Fingerprint recognition;Classification algorithms;Sensors","","1","","35","IEEE","26 Jun 2024","14-16 Dec. 2023","14-16 Dec. 2023","IEEE","IEEE Conferences"
"An Indoor Positioning Method Based on Quadratic Space Judgment","Y. Wang; W. Song; Z. Zhang; L. Li; Y. Ni","Jiangsu Second Normal University, Nanjing, China; Tieto China Co., Nanjing, China; Jiangsu Key Laboratory of Wireless Communications, Nanjing University of Posts and Telecommunications, Nanjing, China; Jiangsu Key Laboratory of Wireless Communications, Nanjing University of Posts and Telecommunications, Nanjing, China; Jiangsu Key Laboratory of Wireless Communications, Nanjing University of Posts and Telecommunications, Nanjing, China","2023 19th International Conference on Mobility, Sensing and Networking (MSN)","26 Jun 2024","2023","","","774","779","Indoor localization methods based on received signal strength (RSS) fingerprints are widely used. However, indoor boundary determination out of bounds produces considerable errors, which degrade the positioning performance. The main reason for this problem is long distances and signal scattering leading to out-of-bounds localization evaluations for areas close to the indoor boundary. This paper presents a novel and robust WiFi-based localization method with a position out-of-bound correction method. We propose Quadratic Space Judgment (QSJ) to correct the estimate position by setting of calibration points. We correct out-of-bounds points to the closest calibration point by K-means. The enhancement of localization accuracy for Wi-Fi in interior environments can be experimentally validated using ray-tracing simulations and RSS measurements at a real location. The proposed method achieves up to 1.18 m mean positioning error under a practical indoor environment better than other existing methods.","2994-3523","979-8-3503-5826-1","10.1109/MSN60784.2023.00113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10567016","received signal strength;indoor localization;correct error;WiFi","Location awareness;Accuracy;Scattering;Fingerprint recognition;Ray tracing;Position measurement;Calibration","","","","27","IEEE","26 Jun 2024","14-16 Dec. 2023","14-16 Dec. 2023","IEEE","IEEE Conferences"
"Indoor Positioning Evacuation Device in Large Buildings Based On UWB Technology","H. Liang; D. Chen; T. Yi; S. Zhou","The School of Economics and Management Shenyang University of Aerospace University, Shenyang, Liaoning, China; The School of Economics and Management Shenyang University of Aerospace University, Shenyang, Liaoning, China; The School of Economics and Management Shenyang University of Aerospace University, Shenyang, Liaoning, China; The School of Economics and Management Shenyang University of Aerospace University, Shenyang, Liaoning, China","2023 International Conference on Computer Simulation and Modeling, Information Security (CSMIS)","11 Jun 2024","2023","","","417","422","Fire is an unavoidable disaster in modern society, fire safety is the top priority in the field of safety, fire crisis, complex environment, high temperature flame, choking black smoke and precarious buildings can deprive the lives of rescue workers at any time. Indoor positioning evacuation device in large buildings based on UWB technology is introduced to solve many problems, the indoor positioning evacuation device can save the rescue force, to avoid unnecessary sacrifices, can speed up the rescue, in a short period of time collaborative firefighters rescue at the same time, the man-machine combination, reduce the number of trapped personnel crisis, save more lives. Tripartite positioning method and UWB technology are used to combine the indoor positioning evacuation device with the positioning small program to determine the location and exchange information, which can reduce the panic of the trapped personnel and guide them to escape the fire successfully.","","979-8-3503-4372-4","10.1109/CSMIS60634.2023.00081","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10549177","Indoor Positioning Evacuation Device;UWB Technology;Tripartite Positioning Method;Small Program","Performance evaluation;Human-machine systems;Buildings;Force;Information security;Fires;Reliability engineering","","1","","10","IEEE","11 Jun 2024","15-17 Nov. 2023","15-17 Nov. 2023","IEEE","IEEE Conferences"
"Context-aware DL-based Approach Combining GNN and Attention for CSI-based Indoor Localization","D. Sun; H. Yu; T. Dong; X. Meng; B. Tang","College of Computer Science and Technology, Harbin Engineering University, Harbin, China; Innovation And Development Base, Harbin Engineering University, Qingdao, China; Innovation And Development Base, Harbin Engineering University, Qingdao, China; College of Computer Science and Technology, Harbin Engineering University, Harbin, China; Innovation And Development Base, Harbin Engineering University, Qingdao, China","2023 4th International Conference on Computer, Big Data and Artificial Intelligence (ICCBD+AI)","11 Jun 2024","2023","","","256","260","In recent years, due to the limitations of GPS in indoor environments, where signals may be obstructed or reflected, significant advancements have been made in indoor localization technologies to address this gap. Among these, fingerprinting localization based on Channel State Information (CSI) has garnered widespread attention owing to its robustness and cost-effectiveness. The inherent nature of deep learning (DL), with its offline training and online positioning capabilities, aligns seamlessly with CSI fingerprinting localization. With the emergence of deep learning techniques, fingerprinting localization has undergone transformative changes. However, most of the current DL-based approaches are inspired by computer vision and natural language processing, implying that they do not fully account for the physical characteristics of CSI. In this paper, we thoroughly consider the physical properties of CSI and design a context-aware approach to embed CSI into a non-Euclidean space for graph-structured learning. Moreover, in feature learning, we separately contemplate the spatial and frequency dimensions, engaging in graph-structured feature learning from distinct physical dimensions. Results on real-world datasets demonstrate that our methodology significantly outperforms state-of-the-art DL-based and meachine learning (ML)-based approaches.","","979-8-3503-7323-3","10.1109/ICCBD-AI62252.2023.00048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10551182","CSI;Indoor Positioning;Deep Learning;GNN;Attention","Location awareness;Representation learning;Deep learning;Training;Convolution;Fingerprint recognition;Robustness","","2","","22","IEEE","11 Jun 2024","15-17 Dec. 2023","15-17 Dec. 2023","IEEE","IEEE Conferences"
